date,BTC,LTC,DASH,XLM,XMR,XRP
2015-01-01,314.89,2.69,1.6,0.005493,0.4657600000000001,0.024390000000000002
2015-01-02,315.21,2.66,1.72,0.005481000000000001,0.45913699999999996,0.024318
2015-01-03,287.13,2.18,1.72,0.004672,0.461172,0.022106
2015-01-04,264.72,1.95,1.72,0.004416,0.417234,0.018928
2015-01-05,274.84,2.11,1.6,0.004947,0.421412,0.020316
2015-01-06,282.27,2.1,1.6,0.004972,0.461609,0.020732
2015-01-07,291.34,2.11,1.6,0.0052840000000000005,0.463607,0.020843
2015-01-08,282.69,2.0,1.6,0.005567,0.429175,0.020676
2015-01-09,287.97,1.98,1.6,0.005622,0.4318010000000001,0.020576
2015-01-10,273.35,1.63,1.6,0.00518,0.419216,0.019233
2015-01-11,264.77,1.66,1.5,0.005062,0.37874800000000003,0.018765
2015-01-12,269.33,1.73,1.5,0.004903,0.364316,0.018434
2015-01-13,221.29,1.54,1.5,0.004053,0.309479,0.015648
2015-01-14,164.92,1.12,1.5,0.004318,0.22352199999999997,0.014233
2015-01-15,209.78,1.29,1.5,0.005013,0.261714,0.016444
2015-01-16,206.92,1.4,1.5,0.004458,0.278449,0.016403
2015-01-17,199.65,1.28,1.5,0.0046170000000000004,0.2480570000000001,0.015361000000000001
2015-01-18,210.62,1.32,1.5,0.004739,0.258656,0.015622
2015-01-19,215.87,1.33,1.5,0.004829,0.254181,0.015991
2015-01-20,210.55,1.31,1.5,0.004743,0.236223,0.016112
2015-01-21,228.17,1.36,1.11,0.005054,0.261268,0.016653
2015-01-22,232.7,1.41,1.11,0.004914,0.273442,0.01701
2015-01-23,232.17,1.43,1.11,0.004881,0.283141,0.016734
2015-01-24,248.16,1.86,1.11,0.005038,0.298369,0.016736
2015-01-25,252.09,2.22,1.8,0.00479,0.310227,0.016578
2015-01-26,269.18,2.06,1.8,0.0047090000000000005,0.317078,0.016019
2015-01-27,263.27,2.08,1.8,0.004816,0.320371,0.015841
2015-01-28,236.17,1.93,1.9,0.004895,0.290979,0.014969999999999999
2015-01-29,233.99,1.89,1.9,0.004556,0.309911,0.014706
2015-01-30,231.84,1.92,1.9,0.004462,0.294018,0.014443000000000001
2015-01-31,218.51,1.88,1.9,0.004334,0.28436300000000003,0.014297999999999996
2015-02-01,225.29,1.84,1.9,0.004142,0.299954,0.014138999999999999
2015-02-02,238.86,1.78,1.9,0.00418,0.301242,0.013669999999999998
2015-02-03,227.41,1.83,1.9,0.00375,0.288734,0.013025
2015-02-04,226.58,1.8,1.33,0.0037649999999999997,0.289486,0.013498
2015-02-05,216.52,1.74,1.89,0.004001,0.272273,0.014466
2015-02-06,222.96,1.79,1.89,0.003825,0.27077199999999996,0.015184999999999999
2015-02-07,227.68,1.8,2.0,0.003825,0.275702,0.014577000000000001
2015-02-08,223.67,1.78,2.0,0.0037329999999999998,0.265034,0.014426
2015-02-09,220.34,1.73,2.0,0.003639,0.251738,0.013994
2015-02-10,219.67,1.76,2.0,0.0035549999999999996,0.244719,0.013649000000000001
2015-02-11,218.83,1.73,2.7,0.003515,0.23149699999999998,0.013775999999999998
2015-02-12,221.79,1.75,2.7,0.003423,0.246741,0.014039
2015-02-13,236.17,1.82,2.7,0.003582,0.255641,0.014565999999999999
2015-02-14,258.64,1.96,1.7,0.003709000000000001,0.28032199999999996,0.014956
2015-02-15,233.27,1.83,1.7,0.003285,0.25138,0.013712
2015-02-16,235.83,1.8,1.7,0.0033009999999999997,0.251039,0.01375
2015-02-17,243.2,1.85,10.0,0.0033590000000000004,0.253231,0.014031
2015-02-18,235.2,1.81,10.0,0.00316,0.248507,0.013791
2015-02-19,241.92,1.85,2.5,0.003222,0.28279099999999996,0.013758000000000001
2015-02-20,244.52,1.84,1.7,0.003222,0.30567300000000003,0.013481
2015-02-21,244.41,1.84,1.7,0.003198,0.302557,0.013286000000000001
2015-02-22,235.73,1.79,1.7,0.002822,0.313139,0.013130000000000001
2015-02-23,238.82,1.81,1.7,0.0031079999999999997,0.337887,0.013334
2015-02-24,238.89,1.82,2.9,0.0031219999999999998,0.340267,0.013396000000000002
2015-02-25,237.33,1.8,2.9,0.003165,0.365243,0.013401
2015-02-26,236.53,1.81,2.9,0.003117,0.357721,0.013299
2015-02-27,253.47,1.84,3.68,0.003159,0.381008,0.013359999999999999
2015-02-28,254.06,1.84,3.0,0.0030489999999999996,0.427227,0.012998
2015-03-01,257.94,1.87,3.0,0.002781,0.42602799999999996,0.012239
2015-03-02,273.75,1.92,1.7,0.003003,0.42843400000000004,0.012192
2015-03-03,280.65,1.94,3.5,0.002863,0.41507799999999995,0.010593
2015-03-04,271.92,1.93,3.5,0.002888,0.4131510000000001,0.010032
2015-03-05,275.23,1.91,3.5,0.0029920000000000003,0.46962600000000004,0.011544
2015-03-06,272.56,1.89,3.5,0.0029519999999999998,0.4860390000000001,0.010856000000000001
2015-03-07,274.91,1.91,3.5,0.002947,0.457321,0.010535
2015-03-08,274.49,1.89,1.95,0.0029579999999999997,0.484062,0.009961
2015-03-09,290.02,1.94,3.36,0.002912,0.63489,0.010643000000000001
2015-03-10,291.37,2.01,3.53,0.002935,0.7918430000000001,0.010086
2015-03-11,295.6,2.02,2.3,0.00293,0.7157819999999999,0.010229
2015-03-12,293.85,2.04,2.3,0.0031,0.684608,0.010359
2015-03-13,287.21,2.01,4.0,0.0029690000000000003,0.644822,0.010511
2015-03-14,281.6,1.99,2.3,0.002968,0.676167,0.011087999999999999
2015-03-15,284.88,2.01,2.3,0.003002,0.69425,0.010817
2015-03-16,290.41,2.03,2.3,0.003144,0.8059430000000001,0.010968
2015-03-17,285.38,1.99,2.3,0.003,0.752221,0.010929000000000001
2015-03-18,255.92,1.74,4.0,0.002666,0.638029,0.010575
2015-03-19,260.93,1.75,3.5,0.002817,0.6773819999999999,0.01048
2015-03-20,261.78,1.76,3.5,0.002796,0.633158,0.010445999999999999
2015-03-21,259.71,1.74,4.0,0.002991,0.743222,0.010182
2015-03-22,268.57,1.79,5.99,0.003193,0.777347,0.010196
2015-03-23,265.46,1.77,3.3,0.003193,0.766353,0.010309
2015-03-24,246.72,1.64,3.3,0.002943,0.711852,0.009757
2015-03-25,246.37,1.66,5.16,0.002934,0.767497,0.009115
2015-03-26,248.02,1.69,4.95,0.00294,0.746328,0.008764
2015-03-27,247.21,1.68,4.78,0.003078,0.777714,0.008895
2015-03-28,252.02,1.7,5.1,0.0029579999999999997,0.795417,0.008851000000000001
2015-03-29,242.08,1.65,4.8,0.003046,0.7121529999999999,0.008498
2015-03-30,246.79,1.67,4.5,0.002735,0.853188,0.008453
2015-03-31,244.15,1.65,4.16,0.002816,0.9070590000000001,0.007772
2015-04-01,246.24,1.66,3.82,0.002803,1.01,0.007668
2015-04-02,252.6,1.68,4.41,0.002664,0.96926,0.007906
2015-04-03,254.48,1.69,4.35,0.002768,0.9522450000000001,0.00872
2015-04-04,252.89,1.67,4.33,0.0026899999999999997,0.85929,0.008844
2015-04-05,259.64,1.67,4.12,0.002666,0.8837309999999999,0.008739
2015-04-06,254.97,1.64,4.13,0.002589,0.789463,0.008786
2015-04-07,252.97,1.67,3.75,0.0026899999999999997,0.8333020000000001,0.009071
2015-04-08,244.57,1.62,3.81,0.002709,0.755192,0.009198
2015-04-09,243.32,1.58,3.42,0.002649,0.758207,0.00878
2015-04-10,234.73,1.52,3.52,0.002637,0.800381,0.008512
2015-04-11,236.48,1.45,3.47,0.00277,0.827207,0.0083
2015-04-12,235.85,1.46,3.66,0.002796,0.800135,0.00861
2015-04-13,223.59,1.36,3.41,0.002732,0.6917409999999999,0.008194
2015-04-14,217.99,1.38,2.4,0.002656,0.656934,0.008159
2015-04-15,222.97,1.38,2.41,0.0026550000000000002,0.673307,0.007949
2015-04-16,227.98,1.41,5.9,0.0027649999999999997,0.678599,0.00801
2015-04-17,222.59,1.4,2.42,0.0026969999999999997,0.658304,0.008025
2015-04-18,223.35,1.39,2.42,0.002742,0.694249,0.0079
2015-04-19,223.02,1.38,2.41,0.0026850000000000003,0.662209,0.007845999999999999
2015-04-20,224.24,1.39,2.41,0.002696,0.678942,0.007932
2015-04-21,233.73,1.42,2.41,0.002758,0.632725,0.007968000000000001
2015-04-22,233.78,1.46,2.41,0.002698,0.576331,0.008025
2015-04-23,235.4,1.45,3.7,0.0027489999999999997,0.603233,0.008019
2015-04-24,231.09,1.42,3.3,0.0026579999999999998,0.569937,0.008076999999999999
2015-04-25,226.14,1.39,3.15,0.002657,0.5647399999999999,0.008291
2015-04-26,218.7,1.32,3.05,0.00264,0.556385,0.00774
2015-04-27,228.96,1.38,3.03,0.0026920000000000004,0.566088,0.007765
2015-04-28,225.81,1.36,2.95,0.00263,0.47931,0.00763
2015-04-29,225.42,1.36,2.97,0.002575,0.491526,0.007863
2015-04-30,235.77,1.43,3.0,0.002732,0.501179,0.008029000000000001
2015-05-01,233.21,1.41,2.83,0.002647,0.49999799999999994,0.008018
2015-05-02,235.34,1.41,2.87,0.002696,0.4975770000000001,0.008037
2015-05-03,239.99,1.43,2.72,0.002677,0.499079,0.008055
2015-05-04,238.97,1.41,2.85,0.0030210000000000002,0.4678890000000001,0.008017
2015-05-05,235.82,1.4,2.85,0.002691,0.471166,0.007909999999999999
2015-05-06,230.03,1.39,2.9,0.002757,0.45825699999999997,0.007781999999999998
2015-05-07,237.73,1.46,2.75,0.0027719999999999997,0.473934,0.007529000000000002
2015-05-08,243.74,1.47,2.82,0.002926,0.490568,0.0074909999999999985
2015-05-09,241.4,1.44,2.7,0.002873,0.5136930000000001,0.007573999999999998
2015-05-10,239.96,1.43,2.75,0.002793,0.565103,0.007382
2015-05-11,241.81,1.44,2.65,0.0029690000000000003,0.511342,0.0073599999999999985
2015-05-12,241.58,1.44,2.8,0.00281,0.477612,0.007213
2015-05-13,236.38,1.44,2.7,0.00281,0.483207,0.006856999999999999
2015-05-14,236.9,1.44,2.9,0.0028469999999999997,0.4955479999999999,0.006601999999999999
2015-05-15,237.2,1.45,3.0,0.002878,0.5449649999999999,0.0066549999999999995
2015-05-16,236.23,1.45,3.05,0.0025989999999999997,0.595673,0.006587999999999999
2015-05-17,236.3,1.45,1.38,0.002576,0.5572159999999999,0.0063289999999999996
2015-05-18,232.64,1.44,2.9,0.00251,0.5357729999999999,0.005748
2015-05-19,232.02,1.45,2.8,0.002652,0.51466,0.006539
2015-05-20,233.96,1.45,2.95,0.002722,0.492917,0.0066359999999999995
2015-05-21,235.38,1.47,2.8,0.0027649999999999997,0.46295600000000003,0.006573000000000001
2015-05-22,240.37,1.83,2.95,0.003046,0.460764,0.0066489999999999995
2015-05-23,238.94,1.78,2.85,0.0030280000000000003,0.470987,0.0068
